	date	province	PRcode	total_doses_administered	total_fully_vaccinated	total_1st_dose	daily_1st_dose	total_only_1st_dose	pct_pop_total_only_first	pct_pop_total_first	pct_pop_total_second	pct_pop_total_tot	pct_5plus_only_first	pct_5plus_first	pct_5plus_second	pct_5plus_tot
4758	2021-08-17	Northwest Territories	NT	65467	31756	33711	0.0	1955	4.365788298347477	75.28137561411344	70.91558731576598	146.1969629298794	4.676808043822768	80.64443783391782	75.96762979009505	156.61206762401287
4759	2021-08-18	Northwest Territories	NT	65467	31756	33711	0.0	1955	4.365788298347477	75.28137561411344	70.91558731576598	146.1969629298794	4.676808043822768	80.64443783391782	75.96762979009505	156.61206762401287
4760	2021-08-19	Northwest Territories	NT	65467	31756	33711	0.0	1955	4.365788298347477	75.28137561411344	70.91558731576598	146.1969629298794	4.676808043822768	80.64443783391782	75.96762979009505	156.61206762401287
4761	2021-08-20	Northwest Territories	NT	65467	31756	33711	0.0	1955	4.365788298347477	75.28137561411344	70.91558731576598	146.1969629298794	4.676808043822768	80.64443783391782	75.96762979009505	156.61206762401287
4762	2021-08-21	Northwest Territories	NT	65467	31756	33711	0.0	1955	4.365788298347477	75.28137561411344	70.91558731576598	146.1969629298794	4.676808043822768	80.64443783391782	75.96762979009505	156.61206762401287
4763	2021-08-22	Northwest Territories	NT	65467	31756	33711	0.0	1955	4.365788298347477	75.28137561411344	70.91558731576598	146.1969629298794	4.676808043822768	80.64443783391782	75.96762979009505	156.61206762401287
4764	2021-08-23	Northwest Territories	NT	66295	32113	34182	471.0	2069	4.620366234926307	76.33318445734703	71.71281822242072	148.04600267976775	4.949522170163329	81.77117777695645	76.82165560679312	158.59283338374956
4765	2021-08-24	Northwest Territories	NT	66295	32113	34182	0.0	2069	4.620366234926307	76.33318445734703	71.71281822242072	148.04600267976775	4.949522170163329	81.77117777695645	76.82165560679312	158.59283338374956
4766	2021-08-25	Northwest Territories	NT	66295	32113	34182	0.0	2069	4.620366234926307	76.33318445734703	71.71281822242072	148.04600267976775	4.949522170163329	81.77117777695645	76.82165560679312	158.59283338374956
4767	2021-08-26	Northwest Territories	NT	66295	32113	34182	0.0	2069	4.620366234926307	76.33318445734703	71.71281822242072	148.04600267976775	4.949522170163329	81.77117777695645	76.82165560679312	158.59283338374956
4768	2021-08-27	Northwest Territories	NT	66295	32113	34182	0.0	2069	4.620366234926307	76.33318445734703	71.71281822242072	148.04600267976775	4.949522170163329	81.77117777695645	76.82165560679312	158.59283338374956
4769	2021-08-28	Northwest Territories	NT	66295	32113	34182	0.0	2069	4.620366234926307	76.33318445734703	71.71281822242072	148.04600267976775	4.949522170163329	81.77117777695645	76.82165560679312	158.59283338374956
4770	2021-08-29	Northwest Territories	NT	66295	32113	34182	0.0	2069	4.620366234926307	76.33318445734703	71.71281822242072	148.04600267976775	4.949522170163329	81.77117777695645	76.82165560679312	158.59283338374956
4771	2021-08-30	Northwest Territories	NT	67111	32475	34636	454.0	2161	4.825815096025011	77.34702992407325	72.52121482804823	149.86824475212148	5.169607254578517	82.85724982396184	77.68764256938331	160.54489239334515
4772	2021-08-31	Northwest Territories	NT	67111	32475	34636	0.0	2161	4.825815096025011	77.34702992407325	72.52121482804823	149.86824475212148	5.169607254578517	82.85724982396184	77.68764256938331	160.54489239334515
4773	2021-09-01	Northwest Territories	NT	67111	32475	34636	0.0	2161	4.825815096025011	77.34702992407325	72.52121482804823	149.86824475212148	5.169607254578517	82.85724982396184	77.68764256938331	160.54489239334515
4774	2021-09-02	Northwest Territories	NT	67111	32475	34636	0.0	2161	4.825815096025011	77.34702992407325	72.52121482804823	149.86824475212148	5.169607254578517	82.85724982396184	77.68764256938331	160.54489239334515
