	date	province	PRcode	total_doses_administered	total_fully_vaccinated	total_1st_dose	daily_1st_dose	total_only_1st_dose	pct_pop_total_only_first	pct_pop_total_first	pct_pop_total_second	pct_pop_total_tot	pct_12plus_only_first	pct_12plus_first	pct_12plus_second	pct_12plus_tot
127	2020-05-31	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
128	2020-06-01	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
129	2020-06-02	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
130	2020-06-03	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
131	2020-06-04	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
132	2020-06-05	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
133	2020-06-06	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
134	2020-06-07	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
135	2020-06-08	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
136	2020-06-09	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
137	2020-06-10	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
138	2020-06-11	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
139	2020-06-12	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
140	2020-06-13	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
141	2020-06-14	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
142	2020-06-15	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
143	2020-06-16	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
144	2020-06-17	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
145	2020-06-18	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
146	2020-06-19	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
147	2020-06-20	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
148	2020-06-21	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
149	2020-06-22	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
150	2020-06-23	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151	2020-06-24	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
152	2020-06-25	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
153	2020-06-26	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
154	2020-06-27	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
155	2020-06-28	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
156	2020-06-29	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
157	2020-06-30	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
158	2020-07-01	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
159	2020-07-02	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
160	2020-07-03	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
161	2020-07-04	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
162	2020-07-05	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
163	2020-07-06	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
164	2020-07-07	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
165	2020-07-08	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
166	2020-07-09	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
167	2020-07-10	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
168	2020-07-11	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
169	2020-07-12	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
170	2020-07-13	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
171	2020-07-14	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
172	2020-07-15	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
173	2020-07-16	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
174	2020-07-17	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
175	2020-07-18	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
176	2020-07-19	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
177	2020-07-20	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178	2020-07-21	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
179	2020-07-22	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
180	2020-07-23	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
181	2020-07-24	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
182	2020-07-25	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
183	2020-07-26	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
184	2020-07-27	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
185	2020-07-28	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
186	2020-07-29	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
187	2020-07-30	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
188	2020-07-31	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
189	2020-08-01	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
190	2020-08-02	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
191	2020-08-03	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
192	2020-08-04	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
193	2020-08-05	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
194	2020-08-06	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
195	2020-08-07	Newfoundland Labrador	NL	0	0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
